center,bldg,floor,time,raw,norm
Briscoe,Shoemaker,Floor 02,17:00:00,10,0.752351675
Briscoe,Shoemaker,Floor 02,17:30:00,10,0.752351675
Briscoe,Shoemaker,Floor 02,18:00:00,13,1.362015963
Briscoe,Shoemaker,Floor 02,18:30:00,14,1.565237393
Briscoe,Shoemaker,Floor 02,19:00:00,13,1.362015963
Briscoe,Shoemaker,Floor 02,19:30:00,10,0.752351675
Briscoe,Shoemaker,Floor 02,20:00:00,7,0.142687387
Briscoe,Shoemaker,Floor 02,20:30:00,6,-0.060534043
Briscoe,Shoemaker,Floor 02,21:00:00,7,0.142687387
Briscoe,Shoemaker,Floor 02,21:30:00,6,-0.060534043
Briscoe,Shoemaker,Floor 02,22:00:00,5,-0.263755472
Briscoe,Shoemaker,Floor 02,22:30:00,11,0.955573104
Briscoe,Shoemaker,Floor 02,23:00:00,9,0.549130245
Briscoe,Shoemaker,Floor 02,23:30:00,4,-0.466976902
Briscoe,Shoemaker,Floor 03,00:00:00,7,0.137250032
Briscoe,Shoemaker,Floor 03,00:30:00,6,-0.058227286
Briscoe,Shoemaker,Floor 03,01:00:00,2,-0.840136561
Briscoe,Shoemaker,Floor 03,01:30:00,2,-0.840136561
Briscoe,Shoemaker,Floor 03,02:00:00,2,-0.840136561
Briscoe,Shoemaker,Floor 03,02:30:00,1,-1.03561388
Briscoe,Shoemaker,Floor 03,03:00:00,1,-1.03561388
Briscoe,Shoemaker,Floor 03,03:30:00,0,-1.231091198
Briscoe,Shoemaker,Floor 03,04:00:00,NaN,NaN
Briscoe,Shoemaker,Floor 03,04:30:00,0,-1.231091198
Briscoe,Shoemaker,Floor 03,05:00:00,0,-1.231091198
Briscoe,Shoemaker,Floor 03,05:30:00,0,-1.231091198
Briscoe,Shoemaker,Floor 03,06:00:00,0,-1.231091198
Briscoe,Shoemaker,Floor 03,06:30:00,0,-1.231091198
Briscoe,Shoemaker,Floor 03,07:00:00,0,-1.231091198
Briscoe,Shoemaker,Floor 03,07:30:00,0,-1.231091198
Briscoe,Shoemaker,Floor 03,08:00:00,0,-1.231091198
Briscoe,Shoemaker,Floor 03,08:30:00,2,-0.840136561
Briscoe,Shoemaker,Floor 03,09:00:00,1,-1.03561388
Briscoe,Shoemaker,Floor 03,09:30:00,5,-0.253704605
Briscoe,Shoemaker,Floor 03,10:00:00,6,-0.058227286
Briscoe,Shoemaker,Floor 03,10:30:00,5,-0.253704605
Briscoe,Shoemaker,Floor 03,11:00:00,9,0.52820467
Briscoe,Shoemaker,Floor 03,11:30:00,8,0.332727351
Briscoe,Shoemaker,Floor 03,12:00:00,8,0.332727351
Briscoe,Shoemaker,Floor 03,12:30:00,6,-0.058227286
Briscoe,Shoemaker,Floor 03,13:00:00,9,0.52820467
Briscoe,Shoemaker,Floor 03,13:30:00,7,0.137250032
Briscoe,Shoemaker,Floor 03,14:00:00,8,0.332727351
Briscoe,Shoemaker,Floor 03,14:30:00,10,0.723681988
Briscoe,Shoemaker,Floor 03,15:00:00,10,0.723681988
