center,bldg,floor,time,raw,norm
Briscoe,Gucker,Floor 02,20:00:00,25,-1.39191667
Briscoe,Gucker,Floor 02,20:30:00,27,-0.64850663
Briscoe,Gucker,Floor 02,21:00:00,28,-0.27680161
Briscoe,Gucker,Floor 02,21:30:00,28,-0.27680161
Briscoe,Gucker,Floor 02,22:00:00,23,-2.135326709
Briscoe,Gucker,Floor 02,22:30:00,30,0.466608429
Briscoe,Gucker,Floor 02,23:00:00,25,-1.39191667
Briscoe,Gucker,Floor 02,23:30:00,26,-1.02021165
Briscoe,Gucker,Floor 03,00:00:00,25,-0.629551411
Briscoe,Gucker,Floor 03,00:30:00,22,-1.499813657
Briscoe,Gucker,Floor 03,01:00:00,21,-1.789901072
Briscoe,Gucker,Floor 03,01:30:00,23,-1.209726242
Briscoe,Gucker,Floor 03,02:00:00,23,-1.209726242
Briscoe,Gucker,Floor 03,02:30:00,25,-0.629551411
Briscoe,Gucker,Floor 03,03:00:00,22,-1.499813657
Briscoe,Gucker,Floor 03,03:30:00,23,-1.209726242
Briscoe,Gucker,Floor 03,04:00:00,NaN,NaN
Briscoe,Gucker,Floor 03,04:30:00,25,-0.629551411
Briscoe,Gucker,Floor 03,05:00:00,22,-1.499813657
Briscoe,Gucker,Floor 03,05:30:00,25,-0.629551411
Briscoe,Gucker,Floor 03,06:00:00,25,-0.629551411
Briscoe,Gucker,Floor 03,06:30:00,24,-0.919638827
Briscoe,Gucker,Floor 03,07:00:00,27,-0.049376581
Briscoe,Gucker,Floor 03,07:30:00,27,-0.049376581
Briscoe,Gucker,Floor 03,08:00:00,29,0.530798249
Briscoe,Gucker,Floor 03,08:30:00,28,0.240710834
Briscoe,Gucker,Floor 03,09:00:00,26,-0.339463996
Briscoe,Gucker,Floor 03,09:30:00,27,-0.049376581
Briscoe,Gucker,Floor 03,10:00:00,25,-0.629551411
Briscoe,Gucker,Floor 03,10:30:00,27,-0.049376581
Briscoe,Gucker,Floor 03,11:00:00,29,0.530798249
Briscoe,Gucker,Floor 03,11:30:00,31,1.110973079
Briscoe,Gucker,Floor 03,12:00:00,34,1.981235324
Briscoe,Gucker,Floor 03,12:30:00,33,1.691147909
Briscoe,Gucker,Floor 03,13:00:00,33,1.691147909
Briscoe,Gucker,Floor 03,13:30:00,27,-0.049376581
Briscoe,Gucker,Floor 03,14:00:00,28,0.240710834
Briscoe,Gucker,Floor 03,14:30:00,31,1.110973079
Briscoe,Gucker,Floor 03,15:00:00,27,-0.049376581
Briscoe,Gucker,Floor 03,15:30:00,26,-0.339463996
Briscoe,Gucker,Floor 03,16:00:00,30,0.820885664
Briscoe,Gucker,Floor 03,16:30:00,33,1.691147909
Briscoe,Gucker,Floor 03,17:00:00,30,0.820885664
Briscoe,Gucker,Floor 03,17:30:00,32,1.401060494
Briscoe,Gucker,Floor 03,18:00:00,25,-0.629551411
Briscoe,Gucker,Floor 03,18:30:00,21,-1.789901072
Briscoe,Gucker,Floor 03,19:00:00,27,-0.049376581
Briscoe,Gucker,Floor 03,19:30:00,29,0.530798249
Briscoe,Gucker,Floor 03,20:00:00,27,-0.049376581
Briscoe,Gucker,Floor 03,20:30:00,29,0.530798249
Briscoe,Gucker,Floor 03,21:00:00,28,0.240710834
Briscoe,Gucker,Floor 03,21:30:00,34,1.981235324
Briscoe,Gucker,Floor 03,22:00:00,27,-0.049376581
Briscoe,Gucker,Floor 03,22:30:00,30,0.820885664
Briscoe,Gucker,Floor 03,23:00:00,29,0.530798249
Briscoe,Gucker,Floor 03,23:30:00,26,-0.339463996
Briscoe,Gucker,Floor 04,00:00:00,10,0.198917994
